SH000001 上证指数
SZ000001 深证成指
SH000002 A股指数
SH000003 B股指数
SH000004 工业指数
SH000005 商业指数
SH000006 地产指数
SH000007 公用指数
SH000008 综合指数
SH000011 基金指数
SZ399006 创业板指
SZ399102 创业板综
SZ399606 创业板R
SZ399635 创业板EW
SZ399667 创业板G
SZ399668 创业板V
SZ399673 创业板50
SZ399306 深证etf
SZ399380 国证etf

SZ150152 创业板A
SZ150153 创业板B
SZ159915 创业板
SZ159948 创业板EF
SZ159949 创业板50
SZ159955 创业板E
SZ159956 创业板F
SZ159957 创业板HX
SZ159958 创业板ET

SZ159901 深100etf
SZ159903 深成etf
SZ159911 民营etf
SZ159912 深300etf
SZ159919 300etf
SZ159920 恒生etf
SZ159922 500etf
SZ159923 100etf
SZ159926 国债etf
SZ159928 消费etf
SZ159929 医药etf
SZ159930 能源etf
SZ159931 金融etf
SZ159932 500深etf
SZ159933 金地etf
SZ159934 黄金etf
SZ159941 纳指etf
SZ159943 深证etf
SZ159952 创业etf
SZ159953 工业etf
SZ159954 H股etf
SZ159959 央企etf
SH510010 治理etf
SH510020 超大etf
SH510030 价值etf
SH510050 50etf
SH510060 央企etf
SH510070 民企etf
SH510090 责任etf
SH510110 周期etf
SH510120 非周etf
SH510130 中盘etf
SH510150 消费etf
SH510160 小康etf
SH510170 商品etf
SH510180 180etf
SH510190 龙头etf
SH510210 综指etf
SH510220 中小etf
SH510230 金融etf
SH510260 新兴etf
SH510270 国企etf
SH510280 成长etf
SH510290 380etf
SH510300 300etf
SH510310 HS300etf
SH510410 资源etf
SH510420 180EWetf
SH510500 500etf
SH510580 ZZ500etf
SH510600 沪50etf
SH510710 上50etf
SH510880 红利etf
SH510900 H股etf
SH511010 国债etf
SH511220 城投etf
SH511600 货币etf
SH512000 券商etf
SH512010 医药etf
SH512070 非银etf
SH512100 1000etf
SH512150 A50etf
SH512170 医疗etf
SH512510 etf500
SH512520 MSCIetf
SH512580 环保etf
SH512660 军工etf
SH512670 国防etf
SH512690 酒etf
SH512800 银行etf
SH512880 证券etf
SH512910 100etf
SH512930 AIetf
SH512960 央调etf
SH512980 传媒etf
SH513000 225etf
SH513100 纳指etf
SH513520 日经etf
SH513600 恒指etf
SH513800 东证etf
SH515000 科技etf
SH515880 通信etf
SH518880 黄金etf

